2.8118867,33.8929122,3.0546385,12.5473168
2.7988634,33.7435798,3.0545672,12.5625384
2.7858287,33.5942371,3.0544999,12.5777600
2.7727833,33.4448838,3.0544366,12.5929816
2.7597277,33.2955196,3.0543773,12.6082033
2.7466626,33.1461442,3.0543221,12.6234249
2.7335884,32.9967573,3.0542708,12.6386465
2.7205057,32.8473585,3.0542237,12.6538681
2.7074152,32.6979476,3.0541805,12.6690897
2.6943175,32.5485242,3.0541413,12.6843113
2.6812130,32.3990880,3.0541062,12.6995329
2.6681023,32.2496388,3.0540751,12.7147546
2.6549861,32.1001762,3.0540480,12.7299762
2.6418650,31.9506998,3.0540249,12.7451978
2.6287481,31.8013084,3.0540054,12.7599512
2.6156344,31.6519860,3.0539870,12.7743117
2.6025168,31.5026496,3.0539694,12.7886722
2.5893953,31.3532994,3.0539526,12.8030327
2.5762702,31.2039355,3.0539365,12.8173932
2.5631416,31.0545581,3.0539213,12.8317537
2.5500095,30.9051672,3.0539068,12.8461142
2.5368742,30.7557630,3.0538931,12.8604747
2.5237357,30.6063456,3.0538801,12.8748352
2.5105941,30.4569152,3.0538680,12.8891956
2.4974496,30.3074718,3.0538566,12.9035561
2.4843024,30.1580156,3.0538460,12.9179166
2.4711525,30.0085467,3.0538362,12.9322771
2.4580011,29.8590774,3.0538272,12.9465805
2.4448613,29.7097546,3.0538185,12.9601351
2.4317191,29.5604194,3.0538099,12.9736897
2.4185746,29.4110720,3.0538014,12.9872443
2.4054277,29.2617124,3.0537930,13.0007989
2.3922785,29.1123406,3.0537847,13.0143535
2.3791269,28.9629568,3.0537764,13.0279081
2.3659731,28.8135609,3.0537682,13.0414627
2.3528170,28.6641532,3.0537601,13.0550173
2.3396586,28.5147336,3.0537520,13.0685719
2.3264980,28.3653022,3.0537441,13.0821266
2.3133352,28.2158591,3.0537362,13.0956812
2.3001701,28.0664044,3.0537284,13.1092358
2.2870029,27.9169381,3.0537206,13.1227904
2.2738414,27.7675503,3.0537130,13.1359096
2.2606835,27.6182154,3.0537054,13.1487172
2.2475234,27.4688693,3.0536980,13.1615247
2.2343612,27.3195121,3.0536907,13.1743322
2.2211970,27.1701439,3.0536835,13.1871398
2.2080308,27.0207648,3.0536765,13.1999473
2.1948625,26.8713750,3.0536695,13.2127549
2.1816923,26.7219746,3.0536627,13.2255624
2.1685201,26.5725636,3.0536560,13.2383699
2.1553461,26.4231423,3.0536494,13.2511775
2.1421701,26.2737107,3.0536430,13.2639850
2.1289923,26.1242689,3.0536366,13.2767925
2.1158126,25.9748172,3.0536304,13.2896001
2.1026321,25.8253662,3.0536243,13.3023516
2.0894605,25.6760275,3.0536183,13.3144652
2.0762873,25.5266792,3.0536124,13.3265788
2.0631123,25.3773214,3.0536067,13.3386923
2.0499356,25.2279542,3.0536011,13.3508059
2.0367573,25.0785778,3.0535956,13.3629194
2.0235774,24.9291924,3.0535903,13.3750330
2.0103959,24.7797980,3.0535851,13.3871465
1.9972129,24.6303948,3.0535800,13.3992601
1.9840283,24.4809829,3.0535751,13.4113737
1.9708422,24.3315625,3.0535702,13.4234872
1.9576547,24.1821336,3.0535656,13.4356008
1.9444658,24.0326966,3.0535610,13.4477143
1.9312755,23.8832513,3.0535566,13.4598279
1.9180891,23.7338591,3.0535523,13.4715756
1.9049056,23.5845056,3.0535482,13.4830432
1.8917208,23.4351445,3.0535442,13.4945109
1.8785347,23.2857758,3.0535403,13.5059786
1.8653474,23.1363997,3.0535366,13.5174463
1.8521590,22.9870163,3.0535331,13.5289140
1.8389693,22.8376259,3.0535297,13.5403817
1.8257786,22.6882285,3.0535264,13.5518494
1.8125868,22.5388242,3.0535233,13.5633170
1.7993939,22.3894134,3.0535203,13.5747847
1.7862000,22.2399960,3.0535175,13.5862524
1.7730052,22.0905723,3.0535148,13.5977201
1.7598094,21.9411423,3.0535123,13.6091878
1.7466130,21.7917097,3.0535099,13.6206298
1.7334225,21.6423481,3.0535077,13.6314953
1.7202312,21.4929807,3.0535056,13.6423609
1.7070391,21.3436077,3.0535037,13.6532264
1.6938462,21.1942293,3.0535020,13.6640919
1.6806526,21.0448456,3.0535004,13.6749575
1.6674584,20.8954567,3.0534989,13.6858230
1.6542635,20.7460629,3.0534976,13.6966885
1.6410679,20.5966642,3.0534965,13.7075541
1.6278718,20.4472609,3.0534955,13.7184196
1.6146752,20.2978530,3.0534947,13.7292851
1.6014781,20.1484407,3.0534941,13.7401507
1.5882805,19.9990242,3.0534936,13.7510162
1.5750825,19.8496037,3.0534932,13.7618817
1.5618865,19.7002058,3.0534930,13.7724596
1.5486923,19.5508296,3.0534930,13.7827629
1.5354979,19.4014498,3.0534931,13.7930661
1.5223031,19.2520665,3.0534934,13.8033693
1.5091082,19.1026799,3.0534939,13.8136725
1.4959130,18.9532902,3.0534945,13.8239757
1.4827177,18.8038974,3.0534952,13.8342790
1.4695222,18.6545018,3.0534962,13.8445822
1.4563267,18.5051036,3.0534973,13.8548854
1.4431311,18.3557028,3.0534985,13.8651886
1.4299355,18.2062996,3.0534999,13.8754919
1.4167399,18.0568942,3.0535015,13.8857951
1.4035445,17.9074867,3.0535033,13.8960983
1.3903491,17.7580772,3.0535052,13.9064015
1.3771559,17.6086893,3.0535072,13.9161916
1.3639629,17.4593003,3.0535094,13.9259689
1.3507701,17.3099099,3.0535118,13.9357462
1.3375776,17.1605181,3.0535144,13.9455235
1.3243854,17.0111251,3.0535171,13.9553008
1.3111935,16.8617310,3.0535199,13.9650781
1.2980020,16.7123361,3.0535229,13.9748554
