x,y,theta,speed,accel,dist,energy,theta_map
-12.442185003150168,-122.17281493229656,-0.0320449878739506,7.025900208147294,-3.5922547444801487,0.04082019364126195,-7.844983086040102,2.6187223
-12.511330885467473,-122.30044305603003,-0.0268556515390766,6.977408989013293,-1.6163739711333749,0.04622904634480696,-3.579808906160562,2.6094822
-12.581370083521996,-122.426159525442,-0.019997203057495,6.9429177455690985,-1.1497081148064867,0.05205052241275417,-2.64194988396671,2.6000231
-12.652311612867411,-122.54982236142595,-0.0129695782331451,6.912994265430865,-0.9974493379411016,0.05827153441831307,-2.3921125434195627,2.5903383
-12.76055857341324,-122.73168824815562,-0.0084494355646046,6.95608684852937,2.358528602987461,0.06735429385936127,6.53691754498897,2.5804208
-12.83410482215821,-122.85061562625576,-0.0045695998343172,6.951647383962302,-0.1479821522356093,0.06463660593272802,-0.43909518800126024,2.5702634
-12.909091033728012,-122.96807668252578,-0.0045461921517192,6.931040042436337,-0.6869113841988278,0.06268994196146085,-2.1310451714268877,2.5598589
-12.985691221413385,-123.08437549908275,-0.0065603924755995,6.905340507229612,-0.8566511735575318,0.06156837284592813,-2.757092746544458,2.5491998
-13.103299665325403,-123.25653642417234,-0.0097722913830576,6.762662388591313,-1.3949201250056211,0.0903958235197275,-4.0550550346958,2.5379962
-13.183091397412426,-123.36946669277968,-0.0134424830932366,6.733410314677857,-0.975069130448508,0.07942567322117595,-2.9535681495892905,2.5263132
-13.26368051956422,-123.48071512245409,-0.0172608455639523,6.708213346397087,-0.8398989426923357,0.07008655600838933,-2.659390455949872,2.5144226
-13.34502452556364,-123.59037463496723,-0.02120685736191,6.684305063077619,-0.7969427773155984,0.06329572018895877,-2.636587698230532,2.5023156
-13.468398659647391,-123.75207160212042,-0.0235162099327291,6.56448896828943,-3.2456952044303664,0.09279474676955933,-10.034839853646153,2.4899831
-13.551503049728634,-123.85811889382538,-0.0299232522237435,6.528281971601476,-1.2068998895984788,0.08111586430941338,-3.847351542969564,2.4774157
