x,y,theta,speed,accel
11.485003482800323,-65.46476664874173,0.02395465675819091,8.90983143,-0.9962965
0.0,0.0,0.0,0.0,0.0
11.640408895566788,-65.04605737580164,0.020316188375830418,8.86445037,-0.991209
11.845588893158832,-64.45911509405946,0.009412400607214535,8.819069310000001,-0.9610767
12.007047604098105,-63.95459165428909,0.0010048934080016338,8.77484376,-0.9401392
12.131626602155674,-63.53315263596943,0.0015490115843876985,8.73136485,-0.9354693
12.270318879200977,-63.02695469650721,0.006926271859346207,8.68788603,-0.9065966
12.399735211243767,-62.52114570169548,0.015084651711961944,8.64554049,-0.8843247
12.522617061585578,-62.01638126321784,0.02483183097339425,8.60403438,-0.880069
12.639670347034484,-61.51265230155599,0.028844707785185466,8.56252836,-0.8506093
12.731681677460239,-61.09354015461236,0.02754297514738814,8.52221961,-0.8322631
12.81716256773947,-60.67490158890088,0.02337541343856335,8.48259477,-0.8283844
12.922787462714403,-60.088947745782846,0.013161313254427215,8.44297002,-0.7538737
12.998057583638182,-59.586575008337846,0.006811048976688288,8.40674709,-0.7306498
13.050784345678121,-59.168307235556114,0.010557397199157303,8.371490399999999,-0.7275792
13.103766305128143,-58.66738645559045,0.020039237064587583,8.33623371,-0.5206
13.154165446312819,-58.0845670311094,0.027914753039215635,8.310915,-0.5021032
13.182537640236603,-57.66909266882681,0.028441145374460634,8.28642249,-0.5006213
13.210261188962827,-57.0886122747689,0.021220835770575576,8.26193007,-0.2128323
13.220799343179534,-56.59196038831215,0.014293229034352479,8.25149538,-0.2094819
13.218981543924295,-56.178863310608946,0.008696902301953392,8.241212070000001,-0.2092207
13.204692815912852,-55.68405175048398,0.008582541308844815,8.23092876,0.0639288
13.174485876840127,-55.10806684921043,0.018452915786524696,8.23407228,0.0739284
13.140125364693926,-54.61519561520175,0.029153539035827087,8.23770594,0.073961
13.090497835771389,-54.04090663507123,0.02766232420492949,8.24133969,0.327015
13.038663145543318,-53.5494754588844,0.022158607448534904,8.25738669,0.3634507
12.976170869070685,-53.05907557680785,0.01489705327428543,8.27518518,0.3642333
12.901444885378334,-52.569933580237524,0.007968641206195089,8.29298367,0.6016568
12.815751163598653,-52.08201219767398,0.011253695264025138,8.322300629999999,0.6753332
12.721352348904162,-51.59488699463338,0.02074260746294364,8.35508511,0.6779883
12.63776212182613,-51.18904799905535,0.029195021221319697,8.38786959,0.9042514
12.512755312110745,-50.62099644539371,0.025495103707454808,8.43139674,1.01005
12.455980399077088,-50.37764614831334,0.01954058402130378,8.43139674,1.01005
12.278608788297745,-49.643877610082335,0.025594250198763234,8.52810822,1.2237985
12.146014835151842,-49.1572692643207,0.02880715803825365,8.58600225,1.3357793
12.007697646957764,-48.66984643817669,0.028176549438542878,8.64875133,1.3455061
11.86111557419065,-48.18207857560107,0.018305331159960768,8.7115005,1.5128028
11.705666700839277,-47.6939666156893,0.014107625510513377,8.78151627,1.6011573
11.569178710901163,-47.286763028385835,0.014518994391795268,8.855018190000001,1.6145033
11.397846264338748,-46.79721381159585,0.016048618036201046,8.92852011,1.7350487
11.219329152573826,-46.30594762232337,0.017454040849536855,9.00684135,1.792507
11.06574012932839,-45.89482676242284,0.018359168931448212,9.08704737,1.8083985
10.876106783418097,-45.39909306632992,0.018292460901981437,9.16725348,1.851732
10.68087106296934,-44.90047682838592,0.017487200054540884,9.24866064,1.8758614
10.547633574424932,-44.566417860406105,0.016809332875087554,9.330404490000001,1.8923682
10.30840728537178,-43.97839502983192,0.014604978580170031,9.412148340000002,1.8319721
10.132795814400874,-43.55576535029819,0.012729222326859746,9.49061259,1.8337434
9.916822980423635,-43.04591402464441,0.010072947505378686,9.56850831,1.8487326
9.73238582551735,-42.618728823762005,0.007350538871693027,9.646404030000001,1.631137
9.505628860420295,-42.10328189590004,0.0021823980080352004,9.782000909999999,1.6340146
9.312122676213578,-41.67146641840289,-0.0017372568290258525,9.84938895,1.3940262
9.11445862188842,-41.237660170901684,-0.0061779801184850495,9.90651735,1.3967096
8.912639514353954,-40.80184441741241,-0.010870653795345688,9.96342723,1.4022051
8.707933399012132,-40.3635661228895,-0.010394881194017979,10.02023595,1.2201779
8.460771664128718,-39.83364485755702,-0.004205071875773167,10.069409160000001,1.2261511
8.255638187481933,-39.38782223205773,0.0012758477087921423,10.11858246,1.2292327
8.051872095391204,-38.93815515175181,0.0011899204965368224,10.16764056,1.002954
7.849148571862172,-38.48492888534951,-0.0037976449471270085,10.20749337,1.0068774
7.646361644533515,-38.028758637304314,-0.011062359799607747,10.247346089999999,1.0108009
7.442992533768544,-37.56987629089792,-0.01514298775457002,10.2871989,0.6383651
7.239557259983218,-37.10822092089616,-0.014233698560275414,10.312288290000001,0.626299
7.0370809189255,-36.64360367755126,-0.01124863813095757,10.336844339999999,0.6277886
6.8371348818949205,-36.17561690830783,-0.007494489961591704,10.36140039,0.1794244
6.679975150672164,-35.798547458040225,-0.004800508540376379,10.368407880000001,0.1060215
6.488030080573802,-35.323745169627195,-0.0013078280365678924,10.372546439999999,0.1060638
6.300623463556926,-34.84564725936712,-0.0031916352994491412,10.376684910000002,-0.9543745
6.116701912662597,-34.3649890639887,-0.009772778771110728,10.33938657,-1.409607
5.935250534543792,-33.88260512083804,-0.01605483596326289,10.28404962,-1.4020425
5.756670531668252,-33.39975072178706,-0.017288602926182308,10.22871267,-2.9618869
5.581741713489754,-32.91755486287438,-0.01535195313155777,10.110814920000001,-4.4689236
5.412395053772072,-32.43766617196616,-0.011172812404126462,9.930280680000001,-4.3884097
