x,y
-9.259239,8.408243
-9.133513,8.405360
-9.007917,8.402865
-8.882450,8.400744
-8.757109,8.398985
-8.631892,8.397573
-8.506797,8.396495
-8.381823,8.395738
-8.256967,8.395289
-8.132227,8.395134
-8.007602,8.395260
-7.883089,8.395653
-7.758686,8.396301
-7.634391,8.397189
-7.510203,8.398304
-7.386118,8.399633
-7.262136,8.401162
-7.138254,8.402879
-7.014470,8.404770
-6.890782,8.406820
-6.767188,8.409018
-6.643686,8.411350
-6.520275,8.413801
-6.396951,8.416360
-6.273714,8.419012
-6.150560,8.421744
-6.027489,8.424543
-5.904497,8.427395
-5.781583,8.430288
-5.658746,8.433206
-5.535982,8.436138
-5.413290,8.439070
-5.290668,8.441988
-5.168114,8.444880
-5.045626,8.447731
-4.923202,8.450528
-4.800840,8.453259
-4.678537,8.455908
-4.556292,8.458464
-4.434103,8.460913
-4.311968,8.463241
-4.189884,8.465436
-4.067851,8.467483
-3.945865,8.469369
-3.823924,8.471081
-3.702028,8.472606
-3.580173,8.473930
-3.458358,8.475039
-3.336580,8.475921
-3.214838,8.476562
-3.093130,8.476949
-2.971453,8.477067
-2.849806,8.476905
-2.728186,8.476448
-2.606592,8.475684
-2.485022,8.474598
-2.363473,8.473177
-2.241943,8.471409
-2.120431,8.469286
-1.998932,8.466822
-1.877444,8.464033
-1.755963,8.460933
-1.634486,8.457539
-1.513009,8.453867
-1.391529,8.449932
-1.270042,8.445750
-1.148546,8.441337
-1.027036,8.436707
-0.905509,8.431878
-0.783962,8.426864
-0.662391,8.421682
-0.540794,8.416347
-0.419166,8.410874
-0.297504,8.405280
-0.175806,8.399580
-0.054066,8.393789
0.067717,8.387925
0.189548,8.382001
0.311429,8.376034
0.433365,8.370040
0.555359,8.364034
0.677413,8.358032
0.799532,8.352050
0.921719,8.346103
1.043976,8.340208
1.166309,8.334378
1.288719,8.328632
1.411211,8.322983
1.533788,8.317449
1.656453,8.312044
1.779210,8.306784
1.902062,8.301685
2.025012,8.296762
2.148064,8.292032
2.271221,8.287510
2.394487,8.283211
2.517865,8.279152
2.641359,8.275348
2.764971,8.271815
2.888706,8.268568
3.012566,8.265624
3.136556,8.262997
3.260678,8.260704
3.384935,8.258760
3.509333,8.257181
3.633872,8.255982
3.758558,8.255180
3.883394,8.254790
4.008382,8.254828
4.133527,8.255308
4.258832,8.256249
4.384299,8.257663
4.509933,8.259569
4.635737,8.261980
4.761715,8.264914
4.887869,8.268385
5.014203,8.272409
5.140721,8.277002
5.267426,8.282180
5.394321,8.287958
5.521410,8.294352
5.648696,8.301378
5.776183,8.309051
5.903873,8.317387
6.031771,8.326403
6.159880,8.336112
6.288203,8.346532
6.416744,8.357678
6.545505,8.369565
6.674491,8.382210
6.803705,8.395628
6.933150,8.409834
7.062830,8.424844
7.192746,8.440668
7.322772,8.456880
7.452583,8.472360
7.581832,8.485926
7.710176,8.496398
7.837268,8.502593
7.962763,8.503331
8.086317,8.497429
8.207584,8.483707
8.326220,8.460982
8.441878,8.428073
8.554215,8.383799
8.662840,8.327494
8.767225,8.260127
8.866814,8.182994
8.961048,8.097386
9.049372,8.004597
9.131229,7.905922
9.206061,7.802653
9.273313,7.696084
9.332482,7.587440
9.383646,7.477216
9.427226,7.365474
9.463652,7.252268
9.493350,7.137653
9.516749,7.021684
9.534276,6.904414
9.546359,6.785900
9.553426,6.666194
9.555904,6.545353
9.554222,6.423431
9.548806,6.300482
9.540086,6.176562
9.528488,6.051724
9.514441,5.926024
9.498371,5.799516
9.480708,5.672255
9.461878,5.544296
9.442309,5.415692
9.422430,5.286500
9.402668,5.156773
9.383450,5.026566
9.365205,4.895935
9.348359,4.764933
9.333342,4.633615
9.320581,4.502036
9.310503,4.370251
9.303536,4.238314
9.300108,4.106280
9.300635,3.974204
9.305155,3.842142
9.313251,3.710153
9.324481,3.578297
9.338403,3.446633
9.354577,3.315221
9.372558,3.184118
9.391906,3.053385
9.412178,2.923081
9.432932,2.793264
9.453727,2.663995
9.474120,2.535332
9.493669,2.407334
9.511933,2.280061
9.528468,2.153572
9.542834,2.027927
9.554588,1.903183
9.563287,1.779401
9.568491,1.656640
9.569757,1.534958
9.566643,1.414416
9.558707,1.295072
9.545507,1.176986
9.526601,1.060216
9.501546,0.944823
9.469902,0.830864
9.431225,0.718400
9.385074,0.607489
9.331007,0.498191
9.268648,0.390637
9.198240,0.285642
9.120372,0.184397
9.035635,0.088097
8.944619,-0.002063
8.847917,-0.084887
8.746119,-0.159179
8.639816,-0.223746
8.529600,-0.277390
