x,y,theta,speed,accel,dist,energy
16.06271976468366,5.698700416484277,-0.0065691308814141,10.99850751,1.3752058,0.22312999570001413,-4.18090936253537
16.360072753551954,5.3869465623257,-0.010720715594709,11.04900687,1.3774056,0.15602322353819725,-4.235755668486195
16.73405483171149,4.995959131202018,-0.0106138774338157,11.09935674,1.3836682,0.1961550819207315,-4.299295127626579
17.034610365774196,4.681840493672577,-0.0072727921476009,11.14970661,1.215798,0.13380913993660284,-3.8162843258099817
17.335745644518834,4.365885674484325,-0.0021522410307911,11.19376098,1.1968406,0.07744582937669432,-3.8229475680656893
17.787298745012723,3.8873755835195367,0.004014456964644,11.23695972,1.2014506,0.22563418650396663,-3.902631400420471
18.08828262771632,3.565313484647351,0.0041765021136322,11.28015846,0.5424836,0.1675340792420132,-1.7912318281649084
18.38935215267515,3.241110882865061,0.0023138063830842,11.29960962,0.4456295,0.11166721731820325,-1.5349124384940327
18.690998664304,2.915312806893008,-0.0005494133386059,11.31556302,0.4462582,0.06007747065297956,-1.6041001738987335
19.06967162512245,2.5068739831310904,-0.0045355062527865,11.33151633,-1.9734005,0.11084297955919575,7.388653193432569
19.451016316269367,2.0982921118426643,-0.0080471337384899,11.26079793,-2.2943763,0.1684370494529048,9.677314399576906
19.757889475484514,1.7716621151406462,-0.0078141993314662,11.17801458,-2.277447,0.11819518488172681,10.727962144898775
20.065113201989853,1.4456134384015724,-0.0033316670388301,11.09523123,-4.4183597,0.07129805989680423,22.97390453709178
20.524394199069736,0.957684702578674,0.0066503277620209,10.93284,-4.5867135,0.23552716224291395,27.458376678103196
20.75197375885738,0.7152870300334196,0.0121881369794269,10.761669090000002,-4.5143347,0.07489739089920729,30.279959297841998
21.12678375656192,0.3146197940244732,0.0167020146874573,10.59049818,-4.790574,0.11848385472277871,35.51725613132222
21.421709097661765,-0.0019017709108562,0.0204005517890292,10.40577417,-4.7308212,0.054933559132788044,38.656250794184885
21.856287238947218,-0.4690584151674793,0.0223171419259052,10.22007807,-4.6456374,0.1854028630587334,39.8213790404489
22.21213977719185,-0.8504683967775998,0.024451198705332,10.03438206,-5.7845095,0.20662520761667152,51.61096531536518
22.562313457797007,-1.2226655806879183,0.0259389002851605,9.79824483,-5.7015416,0.21939937565637113,53.94464616465784
22.838538215346247,-1.51199942826225,0.0254779466360007,9.5597883,-5.5610759,0.12451507743230716,53.82240462199406
23.24963689361657,-1.9297505406335764,0.0124609251930679,9.32133186,-3.6941716,0.21270052899240371,36.420588882251586
23.59162243419452,-2.2617850260451413,-0.0007518241888973,9.15949638,-3.4735287,0.19519148591907792,33.8769332038592
23.93535921959168,-2.57741466088979,-0.0161051305146031,9.00467406,-3.4143155,0.16890588801947432,32.65550932135069
24.352783754316864,-2.933814126122169,-0.0327025756436318,8.84985183,-2.8758443,0.21062334783555156,26.951424518137884
24.775421782422978,-3.2676126410434176,-0.0404270909027624,8.71731342,-2.6993935,0.2394717721515074,24.55281926816537
25.129385509274115,-3.530927649854392,-0.0436532635687989,8.59104684,-2.6600087,0.1819860644752162,22.840525283753337
25.482392145013936,-3.785651591128944,-0.027883070541235,8.59104684,-2.6600087,0.11517274279916292,20.204671170474928
25.97168306421349,-4.136572286066793,-0.0178847313760123,8.37049644,-1.5139911,0.2072772240673893,11.248432621609771
26.31398112109052,-4.387064652259684,-0.0039619802547578,8.37049644,-1.5139911,0.13489966798317507,10.230248886413097
26.78107997050186,-4.743143063658963,0.0043435026714728,8.29695501,-1.5006308,0.22261658060530126,9.587247430243782
27.1070858762385,-5.001894921064617,-0.0007107544954478,8.22341349,-1.4388146,0.1356190459494755,8.662360976667003
27.554453532743985,-5.368127367515458,-0.0149919706340188,8.15227857,-1.3801069,0.21272359561252674,7.915959689644706
27.93113247573808,-5.683472645253019,-0.0280898432807988,8.08345791,-1.3684068,0.20335643225103064,7.483050263267959
28.24042715859504,-5.947187808130552,-0.0350332683430025,8.01463725,-1.2246998,0.11040356064593702,6.369812241604438
28.72574807196345,-6.371674963331306,-0.0345836408814193,7.95253896,-1.1309901,0.2515085809511,5.701962674925593
29.08033312714045,-6.694315716926358,-0.0330983595790759,7.89475842,-1.1227427,0.22835059327352547,5.559890332315536
29.42492278137712,-7.022584975689317,-0.0290261754149975,7.836977880000001,-0.9260319,0.20971015125334902,4.502880436916331
29.813091508066066,-7.414097158382724,-0.026546315906282,7.788998250000001,-0.9079917,0.2578289169837245,4.30968549161371
30.08065267958555,-7.699470446177681,-0.0303461332014178,7.74166455,-0.8614046,0.14852660975071627,3.9947061261444405
30.442078060654893,-8.10699160223502,-0.032686942087264,7.6964904,-0.7562218,0.19767592062299083,3.4184221919131366
30.788283958713517,-8.522770879235333,-0.0348715507814166,7.65661266,-0.7522934,0.2352685278095061,3.3187318829391685
31.073654398863493,-8.88547804372115,-0.039227086899713,7.61673483,-0.3291709,0.19690451880212126,1.4221891105143791
31.392982609709627,-9.315433263550544,-0.0376762760131988,7.5992202,0.2080841,0.237559629799368,-0.8626986626786223
31.65412239782002,-9.690692478612611,-0.0323687874496038,7.610296680000001,0.2083872,0.20299114245714986,-0.813773973092424
31.9440865012463,-10.137371353419962,-0.0271801156287003,7.62137316,0.6088371,0.23327443528836675,-2.232594389276161
32.142115357485345,-10.462211310804124,-0.0216941325236526,7.62137316,0.6088371,0.12578357406201612,-2.11830124225526
32.44449820059335,-10.99098473922102,-0.0226100342738561,7.65364311,1.2188171,0.2265654402011795,-3.8915051073626454
32.696132917825736,-11.46201124100661,-0.0318506409840157,7.78203297,1.4278486,0.25129221321891276,-3.636675312365067
32.90344513714006,-11.872041611707475,-0.0259344359013722,7.78203297,1.4278486,0.20770760056591991,-3.5327521820099936
33.13639140886478,-12.357708658680204,-0.0320744786239837,7.95574377,1.9734463,0.24675764701543798,-3.69138843186819
33.32895369300843,-12.78050675752455,-0.0256534386548862,7.95574377,1.9734463,0.2095500574309817,-3.782224049522746
33.54589922465499,-13.281900649998336,-0.0254462244110433,8.1536922,1.8212535,0.24919479949619602,-2.3864436778136113
33.7256750166859,-13.719167344333863,-0.0195099250733519,8.24361624,1.8412292,0.2249311924198339,-2.284560378559864
33.899931803512665,-14.163473866934757,-0.0112201774045041,8.333540280000001,1.7223399,0.20366739380719487,-2.017255635418858
