x,y,theta,speed,accel,dist,energy,theta_map
2.754830700623733,33.21643392101998,-0.0057789134354255,11.64762666,1.1772659,0.6788801433217763,-3.9613127137319686,3.0546385
2.7270232879947143,32.87489820857962,-0.0029982496805516,11.68847838,1.1758106,0.022476661837673228,-4.222968635069904,3.054239
2.6697372073932524,32.18909233107219,0.0042863564617246,11.72913759,1.1798936,0.2104788537665553,-4.282086526668413,3.0541062
2.629390690093284,31.73001886328732,0.0080413692327686,11.76979689,1.1839766,0.1712706981781872,-4.341511681748996,3.0540182
2.58759884802536,31.269446106623008,0.0076970088103581,11.8104561,1.1307719,0.1340633247210907,-4.177334300805211,3.0539581
2.5339504814755767,30.69166013685623,0.0033906311627072,11.8491579,1.1261446,0.21444983606588902,-4.198824523890733,3.0539068
2.490995338115385,30.227672169905937,-0.0013183203727344,11.8875762,1.12979,0.18047060709820378,-4.252323307797181,3.0538641
2.4490592437273646,29.76202916803816,-0.0061916428274149,11.92599441,1.1334353,0.147921044240335,-4.306080045981408,3.0538301
2.39800841591548,29.177674253990663,-0.0069658408612944,11.96441271,1.0863356,0.23481155962019098,-4.155470200674663,3.0538015
2.358028064880856,28.708433363410727,-0.0044975779157228,12.00111903,1.0786686,0.20597348471862895,-4.160314444343823,3.0537737
2.3180444575212413,28.237701508054627,-0.0003453910833252,12.03745563,1.0819296,0.1784994007795695,-4.208663729979435,3.0537467
2.2770694482442813,27.76556809430274,0.0046534159328076,12.07379214,1.0851907,0.1523751470316819,-4.257229004843414,3.0537207
2.2347501893923187,27.29207081635393,0.0075204722897028,12.11012874,1.0438373,0.12802618736146068,-4.12102002844159,3.0536956
2.1802579268084847,26.69834753577838,0.0058581051242155,12.144978,1.0332962,0.2244260206881451,-4.1096934308707205,3.0536719
2.1359719203501264,26.221836626520336,0.0023473168586618,12.17937717,1.0362187,0.2030851903779357,-4.153435738603218,3.0536495
2.0920532899372453,25.743879367869663,-0.0022654924783984,12.21377634,1.0391413,0.18305685626451274,-4.197360011164467,3.0536284
2.049493474790854,25.264392794762948,-0.0072354483212636,12.24817551,1.0031595,0.16467133903785341,-4.0759779428536715,3.0536086
2.018457318562341,24.903778063869886,-0.0092128514605482,12.28129218,0.9899396,0.026938000572383568,-4.049132983066967,3.0535903
1.9682213612398256,24.30088996785421,-0.0073636391978551,12.31388505,0.9925633,0.1318617167437645,-4.0887492946244475,3.0535735
1.9187642887267025,23.695789065035576,-0.0024836373747602,12.34647801,0.995187,0.23901242259869723,-4.128518348263233,3.0535581
1.8784567936897645,23.21029019597082,0.0022307974119026,12.37907088,0.96419,0.22643338326542126,-4.02202767036787,3.0535442
1.8364762036752125,22.72362496006287,0.0066376352118525,12.41056701,0.9485119,0.21513807312726652,-3.9804850546414525,3.0535319
1.7929615867038096,22.235839278307694,0.0074064588420655,12.44147319,0.950871,0.20496813315847445,-4.016399604908652,3.0535213
1.7481083728188025,21.74687677398902,0.0052450106735046,12.47237928,0.9532302,0.19597623502789163,-4.0524439842655795,3.0535123
1.7026629337152164,21.25667429203144,0.0013206283642405,12.50328546,0.9268231,0.18839543821232604,-3.9605971641496476,3.053505
1.657681543467594,20.76514406286881,-0.0034964187927009,12.53326239,0.9089265,0.18213841469217987,-3.9053227686238783,3.0534994
1.614107486798659,20.27226069451489,-0.0080260410065425,12.56259096,0.911051,0.1770693402418221,-3.937913263731478,3.0534956
